PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
77,93,97,12198,3690,436,19,5,2,19.60,49.00
77,93,97,12198,3690,436,19,5,2,19.60,49.00
77,93,97,12198,3690,436,19,5,2,19.60,49.00
75,91,95,11919,3601,425,21,5,2,19.60,49.00
75,91,95,11919,3601,425,21,5,2,19.50,49.00
75,91,95,11919,3601,425,21,5,2,19.60,49.00
73,89,94,11613,3512,413,24,6,3,19.60,49.10
72,88,93,11613,3512,413,24,6,3,19.60,49.00
72,88,93,11613,3512,413,24,6,3,19.60,48.90
71,85,90,11337,3453,398,21,5,3,19.60,49.00
71,85,90,11337,3453,398,21,5,3,19.60,48.90
72,86,91,11337,3453,398,21,5,3,19.60,48.90
72,88,93,11433,3475,397,27,6,3,19.60,48.90
73,88,92,11427,3504,396,25,6,3,19.60,48.80
72,89,93,11295,3468,391,27,6,3,19.60,48.90
70,87,90,11049,3397,384,26,5,2,19.60,48.80
69,86,91,10920,3363,365,28,7,3,19.60,48.90
69,84,89,10863,3351,362,23,6,3,19.60,48.90
70,87,91,11019,3415,381,26,6,3,19.60,48.80
71,87,91,11085,3442,379,23,5,2,19.60,48.90
71,86,89,11055,3427,376,20,4,1,19.60,48.80
72,87,91,11190,3447,372,23,5,2,19.60,48.90
68,83,86,10719,3306,351,18,4,2,19.60,48.80
66,79,83,10323,3164,334,18,5,2,19.60,48.80
64,75,79,10035,3076,312,13,5,2,19.60,48.80
64,75,79,10035,3076,312,13,5,2,19.60,48.80
63,74,78,10035,3076,312,13,5,2,19.60,48.90
63,75,81,10170,3125,309,16,8,3,19.60,48.80
63,75,81,10170,3125,309,16,8,3,19.60,48.70
64,76,82,10170,3125,309,16,8,3,19.60,48.70
87,151,188,14496,4532,1094,170,40,10,19.60,48.80
91,157,194,15114,4719,1138,171,40,10,19.60,48.70
89,156,192,14967,4677,1125,168,40,10,19.60,48.80
89,156,191,15069,4701,1133,168,40,10,19.60,48.80
90,158,193,15303,4779,1135,169,41,10,19.60,48.70
90,157,192,15276,4778,1127,167,41,9,19.50,48.80
113,198,245,18693,5886,1531,200,51,14,19.60,48.80
152,354,479,26391,8470,3256,530,145,42,19.60,48.80
190,506,723,33906,10983,4954,882,264,98,19.60,48.70
220,568,805,38628,12523,5600,964,289,112,19.60,48.80
206,504,713,35565,11506,4904,818,257,107,19.60,48.90
204,501,709,35229,11389,4887,818,257,107,19.60,49.00
205,507,715,35325,11399,4893,818,257,107,19.60,48.90
205,507,715,35325,11399,4893,818,257,107,19.60,48.90
205,507,715,35325,11399,4893,818,257,107,19.60,49.00
206,507,717,35442,11440,4898,821,258,108,19.60,49.10
206,505,715,35442,11440,4898,821,258,108,19.60,49.00
206,505,715,35442,11440,4898,821,258,108,19.60,49.00
205,504,714,35355,11405,4892,821,257,108,19.60,48.90
205,504,714,35355,11405,4892,821,257,108,19.60,48.90
205,504,714,35355,11405,4892,821,257,108,19.60,48.90
207,506,716,35523,11457,4905,823,256,108,19.60,48.90
206,504,714,35523,11457,4905,823,256,108,19.70,48.90
206,504,714,35523,11457,4905,823,256,108,19.60,48.90
185,466,664,32295,10410,4506,792,246,103,19.60,49.00
150,317,438,24969,7945,2803,466,152,75,19.60,49.00
113,169,197,17742,5522,1127,115,33,19,19.60,48.80
82,103,109,13020,3984,482,33,6,4,19.60,48.90
74,92,97,11910,3630,400,25,6,2,19.60,48.90
75,93,98,11949,3650,400,27,6,2,19.70,48.90
76,93,100,12102,3703,397,30,7,2,19.60,48.90
73,91,96,11718,3601,394,30,6,1,19.60,49.00
72,91,96,11688,3595,393,29,6,1,19.60,48.90
71,89,94,11577,3549,390,27,6,1,19.60,49.00
70,88,94,11409,3491,387,25,7,1,19.60,48.90
69,86,92,11235,3432,390,21,7,2,19.60,49.10
68,85,91,11085,3391,383,21,7,2,19.60,48.90
68,85,91,11085,3391,383,21,7,2,19.60,48.90
68,85,91,11085,3391,383,21,7,2,19.60,49.00
68,84,89,10986,3359,382,18,6,2,19.60,48.90
68,84,89,10986,3359,382,18,6,2,19.60,48.80
68,84,89,10986,3359,382,18,6,2,19.60,48.90
68,84,88,10977,3348,384,16,3,1,19.60,48.80
68,84,88,10977,3348,384,16,3,1,19.60,48.80
68,84,88,10977,3348,384,16,3,1,19.60,48.80
67,83,86,10941,3348,375,13,3,1,19.60,48.80
67,83,86,10941,3348,375,13,3,1,19.60,48.90
67,83,86,10941,3348,375,13,3,1,19.60,48.90
67,83,85,10887,3336,385,11,2,1,19.60,48.90
67,83,85,10887,3336,385,11,2,1,19.60,48.90
67,83,85,10887,3336,385,11,2,1,19.60,48.90
68,85,88,11145,3402,394,14,3,1,19.60,48.80
68,85,88,11145,3402,394,14,3,1,19.60,48.90
68,85,88,11145,3402,394,14,3,1,19.60,48.90
71,88,91,11478,3513,418,17,3,1,19.60,48.90
71,88,91,11478,3513,418,17,3,1,19.60,48.90
71,88,91,11478,3513,418,17,3,1,19.60,48.90
72,89,92,11580,3558,432,17,3,1,19.60,49.00
74,92,95,11922,3666,449,19,2,1,19.60,48.90
75,93,95,12033,3705,441,18,1,0,19.60,48.80
76,95,97,12183,3739,453,18,1,0,19.60,49.00
77,97,99,12321,3778,456,23,1,0,19.60,48.90
76,95,97,12189,3753,445,20,1,0,19.60,48.90
74,94,96,12021,3714,451,20,1,0,19.60,48.70
75,94,96,12096,3731,444,19,1,0,19.60,48.90
77,96,100,12456,3830,459,18,3,1,19.60,48.90
78,96,103,12543,3839,464,23,6,1,19.60,48.90
79,97,105,12849,3924,455,23,7,2,19.60,48.90
80,99,106,13110,3992,467,20,7,2,19.60,48.90
82,102,109,13386,4074,468,20,7,2,19.60,48.80
82,102,109,13386,4074,468,20,7,2,19.60,48.90
82,102,109,13386,4074,468,20,7,2,19.60,48.90
85,105,113,13620,4166,487,22,8,2,19.60,48.90
85,105,113,13620,4166,487,22,8,2,19.60,48.90
85,105,113,13620,4166,487,22,8,2,19.60,48.90
85,104,111,13533,4151,487,18,8,2,19.60,48.80
86,106,113,13638,4193,503,19,8,2,19.60,48.90
85,106,114,13587,4174,503,24,9,2,19.60,48.90
84,106,114,13425,4136,515,27,9,2,19.60,48.90
81,102,108,13053,4025,484,25,6,1,19.60,48.90
89,116,123,14304,4440,582,32,9,4,19.60,48.80
89,118,126,14334,4460,625,36,9,3,19.60,48.80
91,121,129,14349,4487,645,41,9,3,19.60,48.80
90,120,128,14340,4490,657,42,9,3,19.60,48.80
89,118,126,14166,4438,626,39,8,3,19.60,48.80
91,121,129,14697,4586,634,39,9,3,19.60,48.80
93,124,132,14994,4678,658,39,9,3,19.60,48.70
93,123,133,15051,4680,656,40,9,3,19.60,48.80
97,130,138,15552,4818,690,42,9,3,19.60,48.90
102,137,147,16302,5069,740,45,10,3,19.60,48.80
103,138,149,16383,5094,735,50,12,5,19.60,48.80
115,151,163,18120,5629,781,51,14,6,19.60,48.80
124,161,172,19233,5967,827,52,14,6,19.60,48.80
126,164,175,19509,6045,829,54,15,7,19.60,48.80
128,167,180,20166,6227,870,60,15,7,19.60,48.80
132,172,185,20694,6397,899,60,14,7,19.60,48.90
135,175,190,21195,6540,902,64,17,8,19.60,48.80
139,179,193,21516,6657,919,59,17,8,19.70,48.90
136,173,187,20979,6506,868,57,17,8,19.70,48.70
132,166,180,20280,6281,832,52,17,9,19.60,48.80
123,152,160,18855,5841,739,35,9,4,19.60,48.80
110,137,146,17043,5276,682,34,9,6,19.60,48.70
101,125,134,15822,4885,606,29,10,6,19.60,48.70
98,122,130,15429,4766,596,26,9,5,19.60,48.70
98,122,130,15429,4766,596,26,9,5,19.60,48.70
96,118,126,15048,4650,557,25,10,6,19.60,48.70
95,117,125,15048,4650,557,25,10,6,19.60,48.70
95,117,125,15048,4650,557,25,10,6,19.60,48.70
90,111,119,14397,4449,523,25,10,6,19.60,48.70
91,112,120,14397,4449,523,25,10,6,19.60,48.70
91,112,120,14397,4449,523,25,10,6,19.60,48.70
89,110,116,14070,4339,509,25,8,5,19.60,48.70
89,110,116,14070,4339,509,25,8,5,19.60,48.80
89,110,116,14070,4339,509,25,8,5,19.60,48.70
91,112,120,14367,4421,507,32,10,6,19.60,48.60
91,112,120,14367,4421,507,32,10,6,19.60,48.70
91,112,120,14367,4421,507,32,10,6,19.60,48.80
94,116,124,14877,4579,534,29,10,6,19.60,48.70
94,116,124,14877,4579,534,29,10,6,19.60,48.80
94,116,124,14877,4579,534,29,10,6,19.60,48.80
95,117,124,15108,4638,530,28,9,5,19.60,48.80
95,117,124,15261,4661,519,28,9,5,19.60,48.70
94,116,120,15177,4649,502,24,6,2,19.60,48.70
94,117,121,15228,4663,505,26,5,2,19.60,48.80
96,118,123,15453,4742,515,27,6,2,19.60,48.80
95,117,124,15237,4686,532,27,10,4,19.60,48.80
95,118,125,15324,4698,551,27,10,4,19.60,48.80
93,115,122,15024,4602,548,23,9,4,19.60,48.80
90,112,116,14697,4495,531,18,7,3,19.60,48.70
89,111,116,14574,4442,525,23,8,3,19.60,48.90
88,110,116,14349,4378,534,29,9,4,19.60,48.90
88,111,117,14289,4360,548,29,9,4,19.60,48.80
88,110,118,14280,4348,533,33,9,4,19.60,48.90
88,110,118,14280,4348,533,33,9,4,19.60,48.80
88,110,118,14280,4348,533,33,9,4,19.60,48.90
89,112,119,14403,4412,540,31,9,4,19.60,48.90
87,110,117,14076,4303,518,33,8,4,19.60,48.90
86,109,112,14091,4286,494,28,3,1,19.60,48.90
86,108,112,13923,4231,496,28,4,1,19.60,48.90
86,108,112,13932,4243,487,28,4,1,19.60,48.80
84,106,111,13692,4169,468,28,6,1,19.60,48.80
83,105,110,13452,4103,468,26,6,2,19.60,48.70
83,104,109,13524,4120,465,21,5,1,19.60,48.90
82,103,108,13335,4074,460,21,5,1,19.60,48.90
81,102,105,13161,4007,463,19,5,1,19.60,48.90
79,98,102,12867,3892,439,19,6,1,19.60,48.80
79,99,104,13023,3944,449,19,7,2,19.60,48.80
80,100,105,13107,3973,445,22,7,2,19.60,48.80
80,100,105,13107,3973,445,22,7,2,19.70,48.80
80,100,105,13107,3973,445,22,7,2,19.60,48.70
79,99,104,13071,3987,429,21,6,2,19.60,48.80
79,99,104,13071,3987,429,21,6,2,19.60,48.70
79,99,104,13071,3987,429,21,6,2,19.60,48.80
80,99,104,13050,3974,424,21,6,2,19.70,49.00
80,99,104,13050,3974,424,21,6,2,19.60,48.70
80,99,104,13050,3974,424,21,6,2,19.60,48.80
81,100,104,13278,4053,435,21,4,3,19.60,48.70
82,100,103,13350,4083,416,19,3,2,19.60,48.70
83,102,107,13593,4170,439,24,6,2,19.60,48.70
85,104,110,13776,4211,449,24,9,2,19.60,48.80
87,107,113,14046,4303,466,24,9,2,19.60,48.90
90,111,117,14427,4432,490,23,8,2,19.60,48.80
91,113,119,14613,4489,505,25,8,2,19.60,48.70
93,115,122,14811,4550,529,23,9,3,19.60,48.80
94,118,125,15087,4608,536,29,10,4,19.60,48.80
93,118,126,15165,4621,540,31,10,4,19.60,48.80
93,120,127,15285,4628,572,29,9,3,19.60,48.70
94,120,128,15423,4657,586,29,9,3,19.70,48.80
93,119,125,15318,4617,578,24,6,3,19.60,48.70
93,119,125,15318,4617,578,24,6,3,19.60,48.80
93,119,125,15318,4617,578,24,6,3,19.70,48.90
94,120,124,15486,4673,559,21,3,3,19.70,48.90
93,119,123,15486,4673,559,21,3,3,19.70,48.80
93,119,123,15486,4673,559,21,3,3,19.60,48.70
94,117,121,15564,4685,531,19,3,3,19.60,48.80
95,118,122,15564,4685,531,19,3,3,19.60,48.80
95,118,122,15564,4685,531,19,3,3,19.60,48.90
94,118,122,15456,4651,536,24,4,3,19.60,48.80
94,118,122,15456,4651,536,24,4,3,19.70,48.80
94,118,122,15456,4651,536,24,4,3,19.60,48.80
94,116,122,15471,4642,516,24,6,3,19.60,48.80
93,115,121,15471,4642,516,24,6,3,19.60,48.90
93,115,121,15471,4642,516,24,6,3,19.60,48.70
92,114,119,15273,4589,494,26,5,2,19.60,48.80
92,114,119,15273,4589,494,26,5,2,19.60,48.80
93,115,120,15273,4589,494,26,5,2,19.70,48.90
93,113,117,15090,4558,489,23,4,1,19.60,48.80
93,113,117,15090,4558,489,23,4,1,19.70,48.80
93,113,117,15090,4558,489,23,4,1,19.60,48.80
94,115,119,15186,4604,501,23,5,2,19.60,48.80
94,115,119,15186,4604,501,23,5,2,19.70,48.70
94,115,119,15186,4604,501,23,5,2,19.60,48.80
94,114,119,15027,4576,487,25,6,2,19.60,48.80
94,114,119,15027,4576,487,25,6,2,19.60,48.80
93,113,118,15027,4576,487,25,6,2,19.60,48.80
93,113,118,15057,4583,483,27,7,3,19.70,48.70
93,113,118,15057,4583,483,27,7,3,19.70,48.80
93,113,118,15057,4583,483,27,7,3,19.70,48.90
93,114,120,14943,4553,471,34,8,4,19.60,48.80
93,114,120,14943,4553,471,34,8,4,19.60,48.80
93,114,120,14943,4553,471,34,8,4,19.70,48.80
93,115,121,14805,4514,490,40,9,5,19.60,48.90
93,115,121,14805,4514,490,40,9,5,19.60,48.80
93,115,121,14805,4514,490,40,9,5,19.70,48.90
93,117,123,14973,4586,512,40,9,5,19.70,48.90
93,117,123,14973,4586,512,40,9,5,19.70,48.80
93,117,123,14973,4586,512,40,9,5,19.70,48.90
94,117,123,15021,4586,497,36,8,5,19.60,48.80
94,117,123,15021,4586,497,36,8,5,19.70,48.90
94,117,123,15021,4586,497,36,8,5,19.70,48.80
95,117,122,15198,4658,507,32,6,4,19.70,49.00
95,117,122,15198,4658,507,32,6,4,19.70,48.90
95,117,122,15198,4658,507,32,6,4,19.60,48.90
96,119,125,15405,4726,533,34,7,4,19.60,48.90
97,120,126,15405,4726,533,34,7,4,19.70,49.00
97,120,126,15405,4726,533,34,7,4,19.70,48.80
97,120,127,15465,4735,545,34,8,4,19.60,48.80
97,120,127,15465,4735,545,34,8,4,19.70,48.80
97,120,127,15465,4735,545,34,8,4,19.60,48.80
97,121,127,15597,4773,538,34,7,3,19.60,48.90
96,120,126,15597,4773,538,34,7,3,19.60,48.80
96,120,126,15597,4773,538,34,7,3,19.60,48.90
96,120,126,15663,4792,520,36,9,3,19.60,48.90
96,120,126,15663,4792,520,36,9,3,19.70,48.90
96,120,126,15663,4792,520,36,9,3,19.60,48.80
95,119,125,15501,4745,517,33,8,2,19.70,48.90
95,119,125,15501,4745,517,33,8,2,19.60,48.90
95,119,125,15501,4745,517,33,8,2,19.70,48.90
96,118,124,15579,4777,517,28,8,1,19.60,49.00
96,118,124,15579,4777,517,28,8,1,19.70,49.00
96,118,124,15579,4777,517,28,8,1,19.70,49.00
97,118,123,15744,4831,510,23,7,0,19.60,49.00
97,118,123,15744,4831,510,23,7,0,19.70,49.10
97,118,123,15744,4831,510,23,7,0,19.60,49.40
97,118,123,15753,4814,523,22,7,0,19.60,49.70
97,118,123,15753,4814,523,22,7,0,19.60,49.80
97,118,123,15753,4814,523,22,7,0,19.60,49.90
98,120,125,15843,4855,531,22,7,0,19.60,49.90
98,120,125,15843,4855,531,22,7,0,19.70,49.90
98,120,125,15843,4855,531,22,7,0,19.70,49.80
97,120,125,15690,4802,523,26,6,0,19.70,49.80
97,120,125,15690,4802,523,26,6,0,19.60,49.80
97,120,125,15690,4802,523,26,6,0,19.60,49.70
98,122,125,15696,4806,524,27,6,0,19.60,49.70
98,122,125,15696,4806,524,27,6,0,19.60,49.60
98,122,125,15696,4806,524,27,6,0,19.60,49.60
99,123,126,15912,4857,529,25,6,0,19.60,49.50
99,123,126,15912,4857,529,25,6,0,19.70,49.50
99,123,126,15912,4857,529,25,6,0,19.60,49.50
99,124,127,16077,4908,542,25,6,0,19.60,49.50
99,124,127,16077,4908,542,25,6,0,19.60,49.40
99,124,127,16077,4908,542,25,6,0,19.60,49.40
100,125,127,16188,4949,577,20,3,0,19.60,49.30
100,125,127,16188,4949,577,20,3,0,19.70,49.30
100,125,127,16188,4949,577,20,3,0,19.60,49.30
103,129,132,16488,5046,612,25,4,1,19.60,49.30
103,129,132,16488,5046,612,25,4,1,19.60,49.30
103,129,132,16488,5046,612,25,4,1,19.60,49.20
104,131,133,16743,5121,610,23,3,1,19.70,49.30
104,131,133,16743,5121,610,23,3,1,19.60,49.20
104,131,133,16743,5121,610,23,3,1,19.60,49.30
104,131,134,16701,5109,612,27,4,2,19.60,49.20
104,131,134,16701,5109,612,27,4,2,19.70,49.20
104,131,134,16701,5109,612,27,4,2,19.60,49.20
103,130,134,16548,5076,609,30,4,2,19.60,49.10
103,130,134,16548,5076,609,30,4,2,19.60,49.20
103,130,134,16548,5076,609,30,4,2,19.60,49.10
104,131,135,16647,5098,613,37,4,2,19.60,49.10
104,131,135,16647,5098,613,37,4,2,19.60,49.20
104,131,135,16647,5098,613,37,4,2,19.70,49.20
104,132,136,16797,5140,618,38,4,2,19.60,49.20
104,132,136,16797,5140,618,38,4,2,19.60,49.10
104,132,136,16797,5140,618,38,4,2,19.70,49.00
104,130,134,16740,5124,613,33,3,2,19.60,49.10
104,130,134,16740,5124,613,33,3,2,19.60,49.00
104,130,134,16740,5124,613,33,3,2,19.60,49.20
104,129,133,16653,5103,594,33,3,2,19.60,49.10
104,129,133,16653,5103,594,33,3,2,19.70,49.10
104,129,133,16653,5103,594,33,3,2,19.60,49.10
104,130,134,16530,5077,594,35,4,2,19.60,49.10
104,130,134,16623,5091,582,35,4,2,19.70,49.20
107,132,136,16944,5196,588,31,4,1,19.60,49.00
108,133,140,17133,5237,604,33,7,4,19.60,49.10
110,135,141,17379,5326,611,31,7,3,19.60,49.10
111,137,145,17619,5399,624,31,10,4,19.60,49.20
112,137,145,17757,5450,619,23,10,4,19.60,49.10
113,137,144,17832,5471,617,20,10,4,19.60,49.00
114,140,148,18090,5544,644,20,11,5,19.60,49.20
115,142,149,18156,5589,667,20,10,5,19.60,49.10
116,143,150,18303,5630,679,16,9,5,19.60,49.00
117,144,150,18363,5669,674,17,9,5,19.70,49.10
114,141,147,17991,5547,665,17,8,5,19.60,49.10
114,141,147,17991,5547,665,17,8,5,19.60,49.10
114,141,147,17991,5547,665,17,8,5,19.60,49.10
115,141,145,17994,5559,661,14,5,2,19.60,49.10
115,141,145,17994,5559,661,14,5,2,19.60,49.00
115,141,145,17994,5559,661,14,5,2,19.60,49.00
113,140,143,17835,5475,657,16,4,2,19.60,49.10
113,140,143,17835,5475,657,16,4,2,19.60,49.00
113,140,143,17835,5475,657,16,4,2,19.60,49.00
114,142,144,18060,5528,657,19,2,2,19.60,49.10
114,143,147,18039,5523,685,24,5,2,19.60,49.10
111,142,147,17754,5444,700,26,8,2,19.60,49.10
112,141,146,17784,5460,695,26,8,1,19.60,49.00
111,140,145,17763,5429,676,25,8,1,19.60,49.00
110,139,144,17673,5392,656,29,8,1,19.60,49.10
110,141,145,17811,5415,665,29,8,1,19.60,49.20
112,143,149,18030,5503,670,34,9,1,19.60,49.10
112,142,149,18042,5498,667,35,10,2,19.60,49.10
112,141,148,18000,5503,652,31,10,2,19.70,49.20
112,140,148,17868,5478,663,31,9,1,19.60,49.20
112,142,149,17970,5512,670,34,7,1,19.60,49.20
115,145,151,18321,5621,699,30,5,1,19.60,49.20
115,145,151,18321,5621,699,30,5,1,19.60,49.20
115,145,151,18321,5621,699,30,5,1,19.60,49.20
114,144,150,18168,5568,691,34,4,1,19.60,49.20
114,144,150,18168,5568,691,34,4,1,19.60,49.20
114,144,150,18168,5568,691,34,4,1,19.60,49.30
115,145,150,18183,5592,698,34,4,1,19.60,49.20
114,144,149,18183,5592,698,34,4,1,19.60,49.10
114,144,149,18183,5592,698,34,4,1,19.60,49.10
114,143,149,18243,5629,700,30,5,1,19.60,49.20
115,144,150,18243,5629,700,30,5,1,19.60,49.20
115,144,150,18243,5629,700,30,5,1,19.60,49.20
115,143,150,18153,5619,696,29,5,1,19.60,49.10
115,143,150,18153,5619,696,29,5,1,19.60,49.10
115,143,150,18153,5619,696,29,5,1,19.60,49.10
115,142,148,18114,5582,679,28,5,1,19.70,49.10
115,142,148,18114,5582,679,28,5,1,19.60,49.10
115,142,148,18114,5582,679,28,5,1,19.60,49.10
115,143,148,18102,5588,674,30,4,0,19.70,49.20
115,143,148,18102,5588,674,30,4,0,19.60,49.10
115,143,148,18102,5588,674,30,4,0,19.60,49.00
116,144,149,18183,5627,686,30,4,0,19.60,49.10
116,144,149,18183,5627,686,30,4,0,19.60,49.00
116,144,149,18183,5627,686,30,4,0,19.70,49.00
116,142,148,18285,5637,658,27,7,1,19.60,49.10
116,142,148,18285,5637,658,27,7,1,19.70,49.00
116,142,148,18285,5637,658,27,7,1,19.60,48.90
115,141,145,18132,5593,640,22,7,1,19.60,49.00
115,141,145,18132,5593,640,22,7,1,19.60,49.10
115,141,145,18132,5593,640,22,7,1,19.70,49.00
115,140,144,18153,5607,613,24,6,1,19.70,49.00
115,140,144,18153,5607,613,24,6,1,19.70,49.00
115,140,144,18153,5607,613,24,6,1,19.60,49.00
116,139,143,18219,5634,606,19,6,1,19.60,49.00
116,139,143,18219,5634,606,19,6,1,19.60,48.90
116,139,143,18219,5634,606,19,6,1,19.60,48.90
116,140,144,18357,5666,638,20,6,1,19.60,49.00
116,140,144,18357,5666,638,20,6,1,19.60,49.10
116,140,144,18357,5666,638,20,6,1,19.60,49.00
116,141,145,18234,5620,636,24,5,1,19.60,49.10
114,140,144,18096,5559,643,25,5,1,19.60,49.00
114,138,142,17910,5506,623,20,4,1,19.60,49.00
113,138,143,17856,5476,643,22,7,1,19.60,49.10
112,138,144,17796,5437,646,27,8,1,19.60,49.00
111,139,143,17685,5423,660,27,5,0,19.60,49.10
112,141,146,17883,5460,663,34,7,0,19.60,49.10
112,140,145,17847,5423,670,34,7,0,19.60,49.10
112,142,148,17979,5459,694,37,8,1,19.60,49.10
112,141,149,18000,5466,668,39,9,1,19.70,48.90
114,144,150,18261,5555,676,35,9,1,19.70,49.10
113,143,150,18198,5545,664,37,10,1,19.60,49.10
114,146,154,18486,5625,706,47,11,1,19.60,49.00
113,144,150,18333,5584,669,43,8,1,19.60,48.90
115,146,152,18390,5620,698,42,8,1,19.60,49.10
114,144,152,18342,5608,690,42,9,1,19.70,49.10
114,144,152,18342,5608,690,42,9,1,19.70,49.00
114,144,152,18342,5608,690,42,9,1,19.60,48.90
114,142,149,18216,5584,670,35,7,2,19.60,49.00
114,142,149,18216,5584,670,35,7,2,19.60,49.10
114,142,149,18216,5584,670,35,7,2,19.60,49.00
113,141,146,18162,5573,658,32,7,2,19.70,49.00
113,141,146,18162,5573,658,32,7,2,19.60,49.00
113,141,146,18162,5573,658,32,7,2,19.60,49.00
113,140,145,18102,5549,639,32,6,1,19.60,49.10
114,141,146,18102,5549,639,32,6,1,19.70,49.10
114,141,146,18102,5549,639,32,6,1,19.60,49.10
114,140,146,18108,5556,645,32,6,2,19.70,49.10
114,140,146,18108,5556,645,32,6,2,19.60,49.00
114,140,146,18108,5556,645,32,6,2,19.60,49.00
113,139,145,17889,5484,644,34,6,2,19.60,49.10
113,139,145,17889,5484,644,34,6,2,19.60,49.00
113,139,145,17889,5484,644,34,6,2,19.60,49.10
115,142,147,18165,5572,661,34,6,2,19.70,49.10
115,142,147,18165,5572,661,34,6,2,19.70,49.10
115,142,147,18165,5572,661,34,6,2,19.60,49.10
115,140,146,18108,5582,643,27,5,2,19.60,49.00
115,140,146,18108,5582,643,27,5,2,19.60,49.00
115,140,146,18108,5582,643,27,5,2,19.60,49.10
117,143,149,18336,5672,668,27,6,3,19.60,49.10
117,143,149,18336,5672,668,27,6,3,19.70,49.00
117,143,149,18336,5672,668,27,6,3,19.60,49.00
118,142,147,18417,5696,641,25,6,3,19.60,49.00
118,142,147,18417,5696,641,25,6,3,19.70,49.10
118,142,147,18417,5696,641,25,6,3,19.60,49.00
120,145,150,18825,5807,644,23,6,3,19.70,49.00
120,145,150,18825,5807,644,23,6,3,19.60,49.10
120,145,150,18825,5807,644,23,6,3,19.70,49.00
121,147,153,18876,5843,666,26,8,3,19.70,49.00
121,147,153,18876,5843,666,26,8,3,19.60,49.00
121,147,153,18876,5843,666,26,8,3,19.70,49.10
122,149,157,19059,5920,668,34,11,3,19.60,49.00
122,149,157,19059,5920,668,34,11,3,19.60,49.00
122,149,157,19059,5920,668,34,11,3,19.70,49.00
123,149,157,19089,5934,678,31,11,3,19.60,49.00
123,149,157,19089,5934,678,31,11,3,19.60,49.00
123,149,157,19089,5934,678,31,11,3,19.60,49.00
124,151,158,19317,5992,671,29,10,2,19.60,49.00
124,151,158,19317,5992,671,29,10,2,19.60,49.00
124,151,158,19317,5992,671,29,10,2,19.70,49.00
125,152,159,19521,6040,684,27,10,2,19.70,49.00
125,152,159,19521,6040,684,27,10,2,19.60,49.00
125,152,159,19521,6040,684,27,10,2,19.60,49.00
128,153,161,19818,6137,684,27,10,2,19.60,49.00
128,153,161,19818,6137,684,27,10,2,19.60,49.00
128,153,161,19818,6137,684,27,10,2,19.70,49.00
129,153,161,19854,6137,685,25,10,2,19.70,49.00
129,153,161,19854,6137,685,25,10,2,19.60,49.00
129,153,161,19854,6137,685,25,10,2,19.60,49.10
128,153,161,19818,6105,689,27,10,1,19.60,49.00
128,153,161,19818,6105,689,27,10,1,19.70,49.10
128,153,161,19818,6105,689,27,10,1,19.60,49.00
129,155,163,20145,6197,677,30,10,2,19.60,49.00
129,155,163,20145,6197,677,30,10,2,19.60,49.00
129,155,163,20145,6197,677,30,10,2,19.70,49.10
129,154,161,19977,6156,675,29,9,2,19.70,49.00
129,154,161,19977,6156,675,29,9,2,19.70,49.00
129,154,161,19977,6156,675,29,9,2,19.60,49.00
127,152,158,19842,6096,671,24,7,2,19.70,49.00
127,152,158,19842,6096,671,24,7,2,19.60,49.10
127,152,158,19842,6096,671,24,7,2,19.60,49.00
125,150,154,19602,6011,674,17,4,2,19.70,49.00
125,150,154,19602,6011,674,17,4,2,19.60,49.00
125,150,154,19602,6011,674,17,4,2,19.60,49.20
124,149,153,19464,5960,662,18,4,2,19.60,49.10
124,149,153,19464,5960,662,18,4,2,19.70,49.10
124,149,153,19464,5960,662,18,4,2,19.70,49.10
124,150,154,19443,5977,687,20,4,2,19.70,49.00
124,151,157,19515,6023,691,24,5,3,19.60,49.00
123,152,156,19392,5979,691,27,4,3,19.70,49.00
124,153,157,19518,6006,691,27,4,3,19.60,48.90
126,155,160,19959,6137,697,27,3,3,19.60,49.10
126,156,159,19815,6099,726,24,3,2,19.70,49.00
125,155,159,19704,6079,730,27,3,2,19.70,49.00
127,157,161,19959,6173,729,26,2,1,19.60,49.00
129,160,164,20322,6295,724,25,2,1,19.60,49.00
131,163,167,20619,6405,724,30,2,1,19.60,49.00
131,163,167,20631,6410,719,32,3,1,19.70,49.00
132,162,165,20682,6422,692,28,2,0,19.60,49.00
133,162,165,20727,6441,708,23,2,0,19.60,49.00
133,162,165,20727,6441,708,23,2,0,19.70,49.10
133,162,165,20727,6441,708,23,2,0,19.70,48.90
134,163,166,20943,6516,718,23,2,0,19.60,49.00
134,163,166,20943,6516,718,23,2,0,19.60,48.90
134,163,166,20943,6516,718,23,2,0,19.70,49.00
134,163,168,20748,6478,722,28,5,0,19.60,48.90
134,163,168,20748,6478,722,28,5,0,19.60,48.90
134,163,168,20748,6478,722,28,5,0,19.60,48.90
134,162,168,20661,6455,722,30,7,1,19.60,49.00
134,162,168,20661,6455,722,30,7,1,19.60,48.90
134,162,168,20661,6455,722,30,7,1,19.60,48.90
134,161,167,20631,6439,710,28,7,1,19.60,48.90
134,161,167,20631,6439,710,28,7,1,19.60,48.90
134,161,167,20631,6439,710,28,7,1,19.60,49.10
133,163,170,20556,6419,721,34,8,2,19.60,49.00
130,160,168,20238,6295,736,39,9,2,19.60,48.90
