PM1.0,PM2.5,PM10,D.3,D.5,D1.0,D2.5,D5.0,D10,T,H
51,66,69,8625,2631,331,13,3,0,19.40,49.80
52,65,67,8634,2628,323,10,3,0,19.40,49.80
52,65,67,8634,2628,323,10,3,0,19.40,49.70
53,66,68,8634,2628,323,10,3,0,19.40,49.70
54,68,70,8877,2697,320,13,4,1,19.40,49.80
54,68,70,8877,2697,320,13,4,1,19.40,49.80
54,68,70,8877,2697,320,13,4,1,19.40,49.80
55,68,71,8958,2728,318,13,4,1,19.40,49.80
55,68,71,8958,2728,318,13,4,1,19.40,49.70
54,67,70,8958,2728,318,13,4,1,19.40,49.70
54,67,70,8952,2730,317,16,5,1,19.40,49.70
54,67,70,8952,2730,317,16,5,1,19.40,49.70
55,68,71,8952,2730,317,16,5,1,19.40,49.70
57,70,73,9186,2808,325,16,5,1,19.40,49.80
57,70,73,9186,2808,325,16,5,1,19.40,49.70
57,70,73,9186,2808,325,16,5,1,19.40,49.70
59,72,75,9363,2876,349,15,4,1,19.40,49.80
59,72,75,9363,2876,349,15,4,1,19.40,49.70
59,72,75,9363,2876,349,15,4,1,19.40,49.80
61,73,77,9588,2935,339,17,4,2,19.40,49.80
61,73,77,9588,2935,339,17,4,2,19.40,49.80
61,73,77,9588,2935,339,17,4,2,19.40,49.70
61,72,75,9675,2968,339,12,3,2,19.40,49.90
61,72,75,9675,2968,339,12,3,2,19.40,49.80
61,72,75,9675,2968,339,12,3,2,19.40,49.70
62,74,77,9834,2998,339,12,3,2,19.50,49.80
62,74,77,9834,2998,339,12,3,2,19.40,49.70
62,74,77,9834,2998,339,12,3,2,19.40,49.70
63,75,79,9972,3053,339,15,4,2,19.40,49.60
63,75,79,9972,3053,339,15,4,2,19.40,49.80
63,75,79,9972,3053,339,15,4,2,19.40,49.70
64,78,82,10263,3145,359,18,4,2,19.40,49.70
63,77,81,10263,3145,359,18,4,2,19.40,49.70
63,77,81,10263,3145,359,18,4,2,19.40,49.80
65,80,83,10533,3234,389,20,3,1,19.40,49.70
66,81,84,10533,3234,389,20,3,1,19.40,49.80
